candidate,latitude,longitude,mean_accessibility_gain,coverage_gain,neighbourhoods_improved,mean_distance_reduction_m,population_benefited,directly_reached_population,candidate_population,overall_impact_score,simulation_score,service_type,objective
arrancapins,39.464098529813356,-0.3842650020414394,0.24964629717687045,2,3,24.964629717687046,75575,101232,23611,61.7,61.7,sports facilities,Reach the largest population
russafa,39.46118918337599,-0.3737073163793981,0.16926007889999867,2,3,16.92600788999987,70369,93445,25514,57.9,57.9,sports facilities,Reach the largest population
el perellonet,39.29640631975548,-0.2941560038366502,2.423011696435654,1,3,242.30116964356537,2132,1596,1596,45.0,45.0,sports facilities,Reach the largest population
benicalap,39.49300556640789,-0.3910023886392156,0.04928229662617823,0,1,4.928229662617824,67269,56327,44570,34.7,34.7,sports facilities,Reach the largest population
el saler,39.3519159624178,-0.3173995552550035,2.7723006877263843,1,3,277.23006877263845,2952,2030,2030,59.2,59.2,sports facilities,Reduce average distance
el palmar,39.33513789501845,-0.3515391664915657,2.763733439293472,1,3,276.3733439293472,2164,759,759,55.0,55.0,sports facilities,Reduce average distance
el perellonet,39.29640631975548,-0.2941560038366502,2.423011696435654,1,3,242.30116964356537,2132,1596,1596,48.7,48.7,sports facilities,Reduce average distance
mahuella tauladella,39.544068469913306,-0.336135965967794,1.0971120550596838,1,2,109.71120550596838,9919,7152,7152,45.0,45.0,sports facilities,Reduce average distance
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.0971120550597084,1,2,109.71120550597084,8657,7152,7152,38.5,38.5,sports facilities,Reduce average distance
el saler,39.3519159624178,-0.3173995552550035,2.7723006877263843,1,3,277.23006877263845,2952,2030,2030,59.2,59.2,sports facilities,Prioritise underserved neighbourhoods
el palmar,39.33513789501845,-0.3515391664915657,2.763733439293472,1,3,276.3733439293472,2164,759,759,55.0,55.0,sports facilities,Prioritise underserved neighbourhoods
el perellonet,39.29640631975548,-0.2941560038366502,2.423011696435654,1,3,242.30116964356537,2132,1596,1596,48.7,48.7,sports facilities,Prioritise underserved neighbourhoods
